t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-17 00:00:00,104680.598,104680.598,104676.108,104676.108,26335.9,26359.7,26335.9,26348.8,467.60699999999997,379.59000000000003,811.0,472.0,0.009868,0.009868,0.009868,0.009868,0,0
2023-06-17 00:01:00,104807.059,104824.115,104807.059,104824.115,26348.8,26351.9,26331.7,26337.7,277.39799999999997,105.83600000000001,924.0,404.0,0.00989,0.00989,0.00989,0.00989,0,0
2023-06-17 00:02:00,104799.786,104799.786,104775.258,104775.258,26337.7,26337.8,26321.2,26327.8,207.71499999999995,73.97500000000001,703.0,266.0,0.009938,0.009938,0.009938,0.009938,0,0
2023-06-17 00:03:00,104751.38,104767.141,104751.38,104767.141,26327.9,26334.2,26327.9,26329.1,88.21600000000007,44.477,449.0,237.0,0.009907,0.009907,0.009907,0.009907,0,0
2023-06-17 00:04:00,104770.63,104772.856,104770.63,104772.856,26329.0,26332.2,26325.5,26331.2,75.658,45.58699999999999,423.0,212.0,0.009896,0.009896,0.009896,0.009896,0,0
2023-06-17 00:05:00,104777.943,104777.943,104764.663,104764.663,26331.1,26336.0,26331.1,26332.1,97.9,63.10499999999998,347.0,164.0,0.009896,0.009896,0.009896,0.009896,0,0
2023-06-17 00:06:00,104766.408,104766.408,104766.273,104766.273,26332.0,26336.6,26332.0,26336.5,55.59699999999998,40.09899999999999,273.0,141.0,0.009899,0.009899,0.009899,0.009899,0.001,0.0
2023-06-17 00:07:00,104756.268,104770.612,104756.268,104770.612,26336.6,26349.4,26336.1,26349.4,122.03900000000002,99.301,415.0,275.0,0.009935,0.009935,0.009935,0.009935,0,0
2023-06-17 00:08:00,104791.13,104792.2,104791.13,104792.2,26349.3,26349.3,26335.0,26339.5,152.96300000000005,75.095,508.0,205.0,0.009984,0.009984,0.009984,0.009984,0,0
2023-06-17 00:09:00,104824.435,104831.164,104824.435,104831.164,26339.6,26339.6,26322.7,26325.5,156.138,48.42599999999999,426.0,118.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:10:00,104808.668,104808.668,104801.209,104801.209,26325.4,26339.5,26316.5,26332.3,494.12800000000004,179.95599999999996,1043.0,508.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:11:00,104799.546,104799.546,104797.747,104797.747,26332.3,26336.6,26325.0,26332.6,87.631,38.36799999999999,408.0,184.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:12:00,104789.807,104800.507,104789.807,104800.507,26332.6,26332.7,26323.5,26326.2,116.946,30.06,370.0,145.0,0.009999,0.009999,0.009999,0.009999,0,0
2023-06-17 00:13:00,104824.031,104824.031,104821.597,104821.597,26326.3,26344.0,26326.2,26342.2,246.00599999999994,200.70899999999992,495.0,331.0,0.009967,0.009967,0.009967,0.009967,0,0
2023-06-17 00:14:00,104828.167,104976.303,104828.167,104976.303,26342.2,26355.7,26334.0,26345.5,442.67,331.877,793.0,434.0,0.009938,0.009938,0.009938,0.009938,0,0
2023-06-17 00:15:00,104996.808,105007.756,104996.808,105007.756,26345.6,26350.6,26339.4,26347.5,186.80599999999995,117.15700000000002,535.0,296.0,0.009938,0.009938,0.009938,0.009938,0,0
2023-06-17 00:16:00,105022.851,105022.851,105017.059,105017.059,26347.5,26351.6,26344.3,26351.6,148.518,96.92,381.0,214.0,0.009908,0.009908,0.009908,0.009908,0,0
2023-06-17 00:17:00,105005.613,105005.613,105002.748,105002.748,26351.6,26354.4,26351.5,26354.3,75.227,59.231,278.0,172.0,0.009902,0.009902,0.009902,0.009902,0,0
2023-06-17 00:18:00,105016.006,105016.006,105005.21,105005.21,26354.4,26357.6,26351.6,26357.6,115.61999999999999,74.24000000000001,311.0,171.0,0.009904,0.009904,0.009904,0.009904,0,0
2023-06-17 00:19:00,105001.945,105024.982,105001.945,105024.982,26357.5,26362.2,26344.6,26344.6,302.036,123.82700000000008,553.0,234.0,0.009934,0.009934,0.009934,0.009934,0,0
2023-06-17 00:20:00,105038.006,105038.006,105034.598,105034.598,26344.6,26344.7,26320.0,26322.1,230.6670000000001,48.934000000000005,570.0,155.0,0.009934,0.009934,0.009934,0.009934,0,0
2023-06-17 00:21:00,104949.635,104952.17,104949.635,104952.17,26322.0,26342.6,26322.0,26342.6,161.65500000000011,107.68499999999999,528.0,378.0,0.009958,0.009958,0.009958,0.009958,0,0
2023-06-17 00:22:00,104954.442,104967.661,104954.442,104967.661,26342.6,26344.0,26338.6,26338.7,54.338,13.792999999999996,279.0,130.0,0.009961,0.009961,0.009961,0.009961,0,0
2023-06-17 00:23:00,104959.562,104959.562,104928.256,104928.256,26338.7,26342.3,26323.3,26329.1,224.42099999999996,53.335999999999984,496.0,173.0,0.009999,0.009999,0.009999,0.009999,0,0
2023-06-17 00:24:00,104919.301,104925.669,104919.301,104925.669,26329.1,26336.1,26327.1,26336.0,109.28599999999999,77.02099999999999,344.0,194.0,0.009995,0.009995,0.009995,0.009995,0,0
